File,TargetSNR_dB,STOI_Input,STOI_Baseline,STOI_Leaky,STOI_HardVAD,STOI_SoftVAD
female_10_IUS-F18202.wav,5,0.989777307567878,0.950117715500028,0.971396323303687,0.985487748568309,0.984270970353112
female_10_IUS-F18202.wav,10,0.995537087898286,0.927196984670756,0.953365056722765,0.981985250744812,0.981670858970992
female_11_IUS-F20202.wav,-5,0.936769171475415,0.961009840837004,0.941923715490531,0.937591520188028,0.94096230914105
female_11_IUS-F20202.wav,0,0.969993076615261,0.962358646541566,0.961459488578275,0.96704284685275,0.968334786663778
female_11_IUS-F20202.wav,5,0.982975282062983,0.947523055472726,0.957301305933725,0.977529636113633,0.978462168577055
female_11_IUS-F20202.wav,10,0.991959922266051,0.929873295681669,0.945833176347013,0.984492621595963,0.984342462621162
female_12_IUS-F22202.wav,-5,0.95951215591911,0.95563913968047,0.960960981094347,0.961210683232941,0.963540365818629
female_12_IUS-F22202.wav,0,0.97771137303022,0.955892050075841,0.971114877910392,0.972747308719405,0.97684500557836
female_12_IUS-F22202.wav,5,0.988399770302161,0.942304096717765,0.962694896945228,0.984682706324282,0.982431202118695
female_12_IUS-F22202.wav,10,0.99472658779567,0.915072541999563,0.938380690039671,0.986335647018818,0.985085733890939
female_13_IUS-F24202.wav,-5,0.944172579461396,0.978461804052081,0.950395808966187,0.944478748757231,0.949569393470638
female_13_IUS-F24202.wav,0,0.969964854718251,0.969169997030056,0.964900188995287,0.967612444982398,0.970754924686995
female_13_IUS-F24202.wav,5,0.984441131889865,0.938791726113634,0.959752989593815,0.963634762668391,0.968041007654846
female_13_IUS-F24202.wav,10,0.99278726429966,0.895046656471149,0.939681005734263,0.957998045804736,0.962220686900909
female_14_IUS-F26202.wav,-5,0.961014431844112,0.971472064788893,0.961323164413726,0.95870499264401,0.961010514636003
female_14_IUS-F26202.wav,0,0.982198350696569,0.957455679900237,0.9688477770181,0.973409752277286,0.975523894953234
female_14_IUS-F26202.wav,5,0.992818937580543,0.924975839001604,0.952326009852244,0.976225989979865,0.976674032517783
female_14_IUS-F26202.wav,10,0.996782273340007,0.901210444118353,0.930381541712419,0.965232961219451,0.972693758337428
female_15_IUS-F28202.wav,-5,0.937815996689212,0.934168331625576,0.934594777395253,0.9398455678713,0.942559645372159
female_15_IUS-F28202.wav,0,0.972015698849303,0.925367596407272,0.95459006041844,0.969908670564779,0.971139422756501
female_15_IUS-F28202.wav,5,0.988017765498307,0.903633042368717,0.943231588180311,0.976640903823443,0.977719900277444
female_15_IUS-F28202.wav,10,0.995405838864654,0.880788203286752,0.919701033674394,0.976922451592504,0.979110239924161
female_16_IUS-F30202.wav,-5,0.938116916938073,0.954311399578645,0.946757130833618,0.941341884326578,0.942954399981719
female_16_IUS-F30202.wav,0,0.968561354275973,0.946556572502626,0.967082103417223,0.965623550776513,0.965906500318208
